AÑO,MES,CATEGORIA,TIPO,DISTRITO,PROVINCIA,LUGAR,SITIOTURISTICO,ACTIVIDAD,NVISITANTES,PROVENIENCIA,PRECIO
2017,abril,Aventura,Conboleto ,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,trekkingSantaCruzHuaripampa,552,extranjero,65
2017,abril,Aventura,exonerado,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,trekkingSantaCruzHuaripampa,0,nacional,30
2017,abril,Aventura,exonerado,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,trekkingSantaCruzHuaripampa,0,extranjero,65
2017,abril,convencional,Conboleto ,Catac,Recuay,carpa,Pastoruri,Turismo,3642,nacional,30
2017,abril,convencional,Conboleto ,Catac,Recuay,carpa,Pastoruri,Turismo,875,extranjero,65
2017,abril,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,200,nacional,30
2017,abril,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,0,extranjero,65
2017,abril,Aventura,Conboleto ,Huaraz,Huaraz,Ishinca,PNH,Turismo,0,nacional,30
2017,abril,Aventura,Conboleto ,Huaraz,Huaraz,Ishinca,PNH,Turismo,0,extranjero,65
2017,abril,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,Turismo,0,nacional,30
2017,abril,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,Turismo,0,extranjero,65
2017,abril,convencional,Conboleto ,Acopalca,Huari,Purhuay,lagunaPurhuay,Alpinismo,0,nacional,30
2017,abril,convencional,Conboleto ,Acopalca,Huari,Purhuay,lagunaPurhuay,Alpinismo,0,extranjero,65
2017,abril,convencional,exonerado,Acopalca,Huari,Purhuay,lagunaPurhuay,Alpinismo,767,nacional,30
2017,abril,convencional,exonerado,Acopalca,Huari,Purhuay,lagunaPurhuay,Alpinismo,7,extranjero,65
2017,abril,convencional,Conboleto ,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,Turismo,108,nacional,30
2017,abril,convencional,Conboleto ,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,Turismo,276,extranjero,65
2017,abril,convencional,exonerado,Independencia,Huaraz,Quillcayhuanca,LagunaChurup,Turismo,0,nacional,30
